2,食物美味,有點好吃,好吃,很好吃,非常好吃,美味,很美味,非常美味,好好吃,好食,超好吃,超愛,非吃不可,hen好吃,過癮,開胃,食指大動,甘美多汁,垂涎三尺,有果味,柔軟,酥脆,有彈性,很嫩,特推,好愛吃,很脆,飯超香,不難吃,超優,我愛它,好扎實,愛這道,還不錯,還不賴,不卡牙,鮮甜,愛慘,挺愛的,對胃口,耐吃,有扎實,好喝,這必點,愛它,合胃口,跌破,忘不掉,驚艷感,刮目相看,鮮嫩,不會過於甜膩,不會過甜,不會過膩,綿綿的,熱呼呼的,軟嫩,Q彈,重質,不膩口,蠻不錯,爽口,清爽,蠢蠢欲動,剛好,有層次,刺激味蕾,出色,解渴,很清爽,沒有羊騷味,好入味,不油膩,一品,也不錯,相當軟爛,入口即化,超級愛,無法忘懷,甜而不膩,非常厲害,讚不絕口,薄可透光,有別於一般,耐吃,綿密口感,令人驚豔,這麼好吃,多層次,甘願排隊,屹立不搖,誘人,綿密,濃郁,口感剛剛好,口感可以,喜歡,醇厚,香氣,脆脆的,會爆汁,超級新鮮,口感豐富,超好吃的,好極了,頗為好吃,很涮嘴,口感紮實,滿喜歡,活跳跳,揪青ㄟ,入口即化,新鮮,齒頰留香,太犯規了,juicy,酥脆厚實,不乾柴,微甜醇厚好入喉,讓人一塊接一塊停不下來,很好吃所以停不下來,吃起來酥脆到讓人一口接著一口，停不下來呀,外皮酥脆裡面的肉鮮嫩多汁,保有JUICE的肉汁,外酥內多汁,菜市場裡的美食,一口想把它喝光的衝動,會爆漿,肉汁十分充足,不乾不柴,醬汁還蠻特別酸酸的讓人解膩,拉麵很Q彈,湯也很清,很濃郁,好咀嚼
2,食物美味,非常Q彈有咬勁,直呼辣辣但說完還是繼續吃,這樣超好吃的,美味呈度大大提升,很開胃,不錯Q度,一樣無敵,每天吵著要吃,外酥內嫩的口感,壓軸美食,好吃到我想下跪膜拜,垂涎欲滴,粉嫩粉嫩的肉質,超美味,外皮脆口內肉質鮮嫩多汁,細緻Q彈,被折服了,Q彈柔嫩,真的很優秀,新鮮的食材,被秒殺,一定要稱讚一下,不用贅述就是好吃阿,香酥多汁非常下飯,一致好評,頗好吃的,酥脆不會很油,鮮嫩不柴,魅力超強,想到都會流口水,甜度恰到好處,挺不賴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,否食物美味,味道較不好,難吃,很難吃,難ㄘ,頗難吃,不太好吃,有點普通,覺得普普,非常難吃,非常不好吃,沒味道,超難吃,到膩,沒肉,不對味,不太愛吃,不會再來,雷,很雷,燒焦,噁心,油膩,淡而無味,黏糊糊,咬不動,不新鮮,不愛吃,油了點,差強人意,太濕軟,大失所望,不愛它,味道不好,很膩,不太慣,難嚼,很腥,血味,小油,反胃,不愛,太濕,溼溼的,皮太厚,好乾,打入冷宮,踩到,雷到,離譜,乾了點,負評,糟,會膩,不太優,太腥,不怎麼樣,老太,膩啦,太油,非常油,死鹹,糟糕,不脆,涼掉,缺陷,冏食,心酸,你絕對不會想,過於軟爛,太傷我的心,膩口,阿薩不魯,味道詭異,油膩膩,不熱,充數,爆失望,夢醒了,殘害,驚悚畫面,有點硬,有點雷,有點詭異,空虛,不太喜歡,有點點失望,不搭,一般般,不好吃,不夠酥脆,踩雷,口感太過扎實,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,划算,cp值很高,很便宜,划算,很划算,超值,分量不小,合理,滿親民,並不貴,物有所值,中低,太親民,低廉,公道,有夠便宜,值夠,親民耶,物美價廉,親民,實惠,價格便宜,有競爭力,佛心,不會吃不起,價格公道,值極,多料,超乎期待,有誠意,相當平價,平價,超滿足,脫離物價膨脹,CP值非常高,經濟實惠,沒有漲價,料多實在,大碗又便宜,誠意,招待,份量不少,誠意十足,份量很足,超划算,很豐盛,CP值高份量夠,很大器,份量太大了,價錢方面都算還OK,便宜,cp值高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.5,否划算,價格較高,有點小,很貴,貴,CP值很低,cp值不高,很不值,很不划算,沒有飽足感,吃不飽,量很少,量不夠,貴點,滿貴,值不高,偏貴,小氣,小貴,嫌貴,貴有,略貴,算貴,稍貴,貴得,貴到,太貴,貴耶,天價,不親民,蠻貴,超貴,漲成,好貴,貴了點,偏高些,貴貴,有貴,挺貴,天龍,但貴,平心而論,貴桑,物價飛漲,吃不起,貴蠻多,不算便宜,不划算,價位真是一點都不可愛,不斐,有丁點兒貴,cp值太低,貴婦級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,環境好,乾淨,整潔,氣氛好,氣氛很好,氣氛佳,漂亮,裝潢漂亮,令人愉快,舒適,寬敞明亮,裝潢,環境好,寬暢,寬敞,一塵不染,整齊清潔,整齊,清潔,清幽,寬敞,几淨,明亮,環境優美,裝璜,明朗,極為?敞,開闊,小而美,極優,舒適感,寬敝,寬廣,有條不紊,有條理,花心思,美侖美奐,環境美,優雅,相當大,浪漫,賞心悅目,小巧,美妙,花不少心思,繽紛色彩,顯得有味道,鄉村風格,像彩虹一般,溫馨,舒適,童趣歡樂,朝氣活力,寬敞又明亮,事先訂位,許多停車位,滿足你,溫暖,舒適環境,太素西,乾淨衛生,店內雖小卻五臟俱全,小小擁擠但不會不方便,好好看,古色古香,這裡真的很好笑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,否環境好,環境不是很好,有小強,蟑螂,有蟲,蟲子,髒亂,髒,亂,很亂,很髒,不乾淨,氣氛差,氣氛不好,太臭,嘈雜,壓迫,雜亂,狹隘,油垢,累贅,垢,鐵桌,蚊蟲,汙,陳舊,破舊,坐得太近,殘破,不敢恭維,環境差,太過狹窄,態度有待加強,態度真的讓人不敢恭維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,服務好,態度好,親切,出餐快速,有禮貌,服務到位,很有禮貌,親善,服務周到,面面俱到,顧慮到,還不收,值得稱讚,不可多得,令人滿意,挑惕,有問必答,心甘情願,機伶,勤快,快狠準,機靈,逗趣,貼心的準備,招呼周到,老闆非常貼心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,否服務好,服務較差,臉臭,出餐慢,漏單,有落差,實物不符,面露不爽,服務不好,生疏,催菜,一問三不知,忙東忙西,過慢,還沒出,茫然,稍慢,亂掉,生手,頗糟糕的點,手腳太慢,大便臉,態度太差,態度差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,食物精緻漂亮,精緻,擺盤很漂亮,看到就好感動,精美,特別,精巧,擺盤,美侖美奐,雕花,驚艷度,精心設計,高檔,可愛,美麗紋路,薄可透光,美麗紋路,最好姿態,很有值感,很有質感,豐富澎湃,視覺效果,沁涼夢幻顏色,漸層色澤,潤紅飽滿,色澤度很亮,看起來就很可口,品質很優,好療癒,滿有質感的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
